year,npc_name,total_crimes,crime_rate_per_1000
2011,ANG MO KIO NORTH,74,0.49
2011,ANG MO KIO SOUTH,59,0.39
2011,BEDOK,199,1.33
2011,BISHAN,67,0.45
2011,BUKIT BATOK,114,0.76
2011,BUKIT MERAH EAST,124,0.83
2011,BUKIT MERAH WEST,135,0.9
2011,BUKIT PANJANG,55,0.37
2011,BUKIT TIMAH,32,0.21
2011,CHANGI,76,0.51
2011,CHOA CHU KANG,120,0.8
2011,CLEMENTI,73,0.49
2011,GEYLANG,260,1.73
2011,HOUGANG,128,0.85
2011,JURONG EAST,83,0.55
2011,JURONG WEST,129,0.86
2011,KAMPONG JAVA,52,0.35
2011,MARINA BAY,125,0.83
2011,MARINE PARADE,77,0.51
2011,NANYANG,140,0.93
2011,ORCHARD,156,1.04
2011,PASIR RIS,84,0.56
2011,PUNGGOL,0,0.0
2011,QUEENSTOWN,89,0.59
2011,ROCHOR,124,0.83
2011,SEMBAWANG,39,0.26
2011,SENGKANG,115,0.77
2011,SERANGOON,72,0.48
2011,TAMPINES,134,0.89
2011,TOA PAYOH,116,0.77
2011,UNKNOWN,0,0.0
2011,WOODLANDS,241,1.61
2011,WOODLANDS EAST,0,0.0
2011,WOODLANDS WEST,0,0.0
2011,WOODLEIGH,0,0.0
2011,YISHUN,0,0.0
2011,YISHUN NORTH,91,0.61
2011,YISHUN SOUTH,47,0.31
2012,ANG MO KIO NORTH,61,0.41
2012,ANG MO KIO SOUTH,71,0.47
2012,BEDOK,218,1.45
2012,BISHAN,43,0.29
2012,BUKIT BATOK,67,0.45
2012,BUKIT MERAH EAST,84,0.56
2012,BUKIT MERAH WEST,105,0.7
2012,BUKIT PANJANG,56,0.37
2012,BUKIT TIMAH,48,0.32
2012,CHANGI,59,0.39
2012,CHOA CHU KANG,82,0.55
2012,CLEMENTI,81,0.54
2012,GEYLANG,273,1.82
2012,HOUGANG,119,0.79
2012,JURONG EAST,67,0.45
2012,JURONG WEST,130,0.87
2012,KAMPONG JAVA,65,0.43
2012,MARINA BAY,106,0.71
2012,MARINE PARADE,52,0.35
2012,NANYANG,97,0.65
2012,ORCHARD,162,1.08
2012,PASIR RIS,64,0.43
2012,PUNGGOL,0,0.0
2012,QUEENSTOWN,93,0.62
2012,ROCHOR,147,0.98
2012,SEMBAWANG,57,0.38
2012,SENGKANG,87,0.58
2012,SERANGOON,66,0.44
2012,TAMPINES,98,0.65
2012,TOA PAYOH,88,0.59
2012,UNKNOWN,0,0.0
2012,WOODLANDS,0,0.0
2012,WOODLANDS EAST,114,0.76
2012,WOODLANDS WEST,118,0.79
2012,WOODLEIGH,0,0.0
2012,YISHUN,0,0.0
2012,YISHUN NORTH,72,0.48
2012,YISHUN SOUTH,47,0.31
2013,ANG MO KIO NORTH,42,0.28
2013,ANG MO KIO SOUTH,35,0.23
2013,BEDOK,173,1.15
2013,BISHAN,57,0.38
2013,BUKIT BATOK,74,0.49
2013,BUKIT MERAH EAST,95,0.63
2013,BUKIT MERAH WEST,82,0.55
2013,BUKIT PANJANG,49,0.33
2013,BUKIT TIMAH,38,0.25
2013,CHANGI,68,0.45
2013,CHOA CHU KANG,95,0.63
2013,CLEMENTI,60,0.4
2013,GEYLANG,234,1.56
2013,HOUGANG,84,0.56
2013,JURONG EAST,73,0.49
2013,JURONG WEST,97,0.65
2013,KAMPONG JAVA,63,0.42
2013,MARINA BAY,92,0.61
2013,MARINE PARADE,62,0.41
2013,NANYANG,119,0.79
2013,ORCHARD,135,0.9
2013,PASIR RIS,59,0.39
2013,PUNGGOL,20,0.13
2013,QUEENSTOWN,84,0.56
2013,ROCHOR,146,0.97
2013,SEMBAWANG,31,0.21
2013,SENGKANG,54,0.36
2013,SERANGOON,35,0.23
2013,TAMPINES,99,0.66
2013,TOA PAYOH,77,0.51
2013,UNKNOWN,0,0.0
2013,WOODLANDS,0,0.0
2013,WOODLANDS EAST,93,0.62
2013,WOODLANDS WEST,87,0.58
2013,WOODLEIGH,0,0.0
2013,YISHUN,0,0.0
2013,YISHUN NORTH,74,0.49
2013,YISHUN SOUTH,28,0.19
2014,ANG MO KIO NORTH,45,0.3
2014,ANG MO KIO SOUTH,41,0.27
2014,BEDOK,150,1.0
2014,BISHAN,35,0.23
2014,BUKIT BATOK,44,0.29
