NAME,station_type,latitude,longitude,STN_NAME
CORAL EDGE LRT STATION,LRT,1.3939263504020372,103.91256353494164,CORAL EDGE
HOUGANG MRT STATION,MRT,1.371281174691941,103.89234753407565,HOUGANG
BEDOK MRT STATION,MRT,1.3240113188941398,103.93017252010469,BEDOK
PUNGGOL LRT STATION,LRT,1.4051667768699265,103.9023927992074,PUNGGOL
SAM KEE LRT STATION,LRT,1.409613763299779,103.90483111309005,SAM KEE
JURONG EAST MRT STATION,MRT,1.333209024406938,103.74226323357735,JURONG EAST
BUKIT BROWN MRT STATION,MRT,1.3337318981298218,103.830712164166,BUKIT BROWN
TAMPINES EAST MRT STATION,MRT,1.3562130023610186,103.95480497245946,TAMPINES EAST
SOO TECK LRT STATION,LRT,1.4052096470452735,103.89723440823597,SOO TECK
FAJAR LRT STATION,LRT,1.38453267812522,103.77083795599009,FAJAR
KENT RIDGE MRT STATION,MRT,1.2934009386725291,103.78449793831082,KENT RIDGE
TANJONG RHU MRT STATION,MRT,1.2972145278824423,103.87345170668743,TANJONG RHU
FARRER ROAD MRT STATION,MRT,1.3174545708674896,103.80748912467556,FARRER ROAD
BUANGKOK MRT STATION,MRT,1.382771583513829,103.89309246857367,BUANGKOK
TAMPINES MRT STATION,MRT,1.3532891936017595,103.94515900798021,TAMPINES
TECK LEE LRT STATION,LRT,1.4128738704562314,103.90662621178124,TECK LEE
RIVIERA LRT STATION,LRT,1.394636478692996,103.91622379060156,RIVIERA
BUKIT GOMBAK MRT STATION,MRT,1.3586719215970804,103.7519101088861,BUKIT GOMBAK
JOO KOON MRT STATION,MRT,1.3277168592366733,103.6783869369899,JOO KOON
SENGKANG MRT DEPOT,MRT,1.3876258702572506,103.88591940092263,SENGKANG MRT DEPOT
KOVAN MRT STATION,MRT,1.3601798706506054,103.88509111564177,KOVAN
PUNGGOL POINT LRT STATION,LRT,1.416910852621644,103.90653551133657,PUNGGOL POINT
SAMUDERA LRT STATION,LRT,1.415818697241914,103.90208724236359,SAMUDERA
THANGGAM LRT STATION,LRT,1.3974369932129012,103.87565537166792,THANGGAM
OASIS LRT STATION,LRT,1.4023508794150525,103.91263185180144,OASIS
BUKIT PANJANG LRT DEPOT,LRT,1.380314385470996,103.76012308569362,BUKIT PANJANG LRT DEPOT
KADALOOR LRT STATION,LRT,1.3996385095763013,103.91639497889241,KADALOOR
COVE LRT STATION,LRT,1.399361706782195,103.90591744030257,COVE
TELOK BLANGAH MRT STATION,MRT,1.2705817863242321,103.80973975589153,TELOK BLANGAH
TECK WHYE LRT STATION,LRT,1.3766592936677757,103.75369963012857,TECK WHYE
