feature_name,feature_index
area_commercial_interaction,1
area_lease_interaction,2
area_transport_interaction,3
bus_distance_inv,4
bus_distance_log,5
commercial_diff_from_town_avg,6
commercial_score,7
crime_rate_per_1000,8
flat_model_encoded,9
flat_type_encoded,10
floor_area_sqm,11
is_mature_town,12
latitude,13
lease_commence_date,14
lease_diff_from_town_avg,15
livability_score,16
longitude,17
mall_1000m_area_interaction,18
mall_500m_area_interaction,19
mall_distance_inv,20
mall_distance_log,21
mall_within_1000m,22
mall_within_2000m,23
mall_within_500m,24
mature_area_interaction,25
mature_lease_interaction,26
mrt_1000m_area_interaction,27
mrt_500m_area_interaction,28
mrt_distance_inv,29
mrt_distance_log,30
mrt_within_1000m,31
mrt_within_1500m,32
mrt_within_200m,33
mrt_within_500m,34
nearest_bus_dist_m,35
nearest_mall_dist_m,36
nearest_mrt_dist_m,37
nearest_park_dist_m,38
nearest_school_dist_m,39
nearest_school_type_encoded,40
park_distance_inv,41
quarter_num,42
remaining_lease_months,43
remaining_lease_squared,44
remaining_lease_years,45
school_distance_inv,46
storey_range_encoded,47
town_avg_area,48
town_avg_commercial_score,49
town_avg_lease,50
town_avg_transport_score,51
town_encoded,52
transport_commercial_interaction,53
transport_livability_interaction,54
transport_score,55
year,56
